company,Top-Sale,Top-Day,Second-Sale,Second-Day,Third-Sale,Third-Day
Rite-Buy Beer Distributor,12, 'Fri',5, 'Mon',1, 'Wed'
Cases & Kegs,7, 'Tue',5, 'Wed',3, 'Fri'
59 Almshouse,1, 'Wed',,,,
Beer Mart - Reading,27, 'Fri',17, 'Thu',13, 'Mon'
Brewers Bar and Grill,4, 'Fri',2, 'Wed',1, 'Sat'
Aston Beverage,5, 'Tue',1, 'Thu',,
Zen Beverage,10, 'Fri',3, 'Sat',1, 'Tue'
BAR BOMBON,2, 'Tue',1, 'Wed',,
TICKETLEAP $%$%$,5, 'Tue',3, 'Wed',1, 'Thu'
EZ Beverage,3, 'Mon',1, 'Tue',,
PINEVILLE TAVERN,1, 'Mon',,,,
APPLEBEES CENTER CITY,1, 'Wed',,,,
Mr. Bottle,9, 'Mon',8, 'Tue',2, 'Fri'
Tria - Washington Square,7, 'Mon',3, 'Tue',1, 'Fri'
Greeks Next Door,43, 'Mon',13, 'Fri',,
South Mountain Dist WERNERSVILLE,2, 'Tue',1, 'Wed',,
Girard Beverage,4, 'Tue',3, 'Thu',2, 'Wed'
Catahoula,1, 'Wed',,,,
Spinnerstown Hotel,8, 'Mon',3, 'Fri',2, 'Wed'
East Girard Gastro Pub,3, 'Tue',1, 'Wed',,
Los Camaradas,3, 'Sat',2, 'Fri',1, 'Wed'
Springfield Suds & Soda,3, 'Tue',2, 'Wed',1, 'Thu'
Pulse (9999),4, 'Tue',,,,
Frank Smith Beverage,37, 'Mon',26, 'Fri',12, 'Wed'
Dorneyville Beverage,2, 'Wed',1, 'Thu',,
Misconduct JFK Blvd,1, 'Sat',,,,
South Philly Tap Room,1, 'Wed',,,,
BAR ,1, 'Wed',,,,
Bryn Mawr Beverage,12, 'Fri',11, 'Tue',6, 'Mon'
HUMBOLDT BEER DEPOT,2, 'Tue',1, 'Wed',,
Springfield Beer PHILADELPHIA,8, 'Sat',7, 'Fri',4, 'Wed'
WEGMANS KING OF PRUSSIA,43, 'Sun',17, 'Fri',4, 'Tue'
ROLLING GREEN GOLF CLUB,1, 'Wed',,,,
Link Beverage ,17, 'Tue',8, 'Mon',7, 'Fri'
Lionville Beverage ,10, 'Mon',6, 'Fri',1, 'Wed'
Kopper Kettle,8, 'Wed',4, 'Mon',,
Beers Etc.,6, 'Wed',2, 'Tue',1, 'Fri'
BIRDSBORO BEVERAGE,1, 'Wed',,,,
